Ipswich Town,Norwich City
Arsenal,Tottenham Hotspur
Arsenal,Chelsea,Chelsea,Tottenham Hotspur
Arsenal,Chelsea
Chelsea,Tottenham Hotspur
Charlton Athletic,Crystal Palace
Chelsea,Fulham
Arsenal,Chelsea
Chelsea,Tottenham Hotspur
Derby County,Leicester City,Derby County,Nottingham Forest,Leicester City,Nottingham Forest
Derby County,Leicester City
Derby County,Nottingham Forest
Leicester City,Nottingham Forest
Coventry City,Leicester City
Aston Villa,Birmingham City
Derby County,Leicester City
Derby County,Nottingham Forest
Leicester City,Nottingham Forest
Huddersfield Town,Oldham Athletic
Bolton Wanderers,Oldham Athletic
Bolton Wanderers,Wigan Athletic
Burnley,Blackburn Rovers
Liverpool,Manchester City
Manchester City,Manchester United
Everton,Liverpool
Liverpool,Manchester United
Sheffield United,Sheffield Wednesday
Middlesbrough,Sunderland
Newcastle United,Middlesbrough
Newcastle United,Sunderland
Leeds United,Manchester United
Bradford City,Huddersfield Town,Leeds United
Brighton & Hove Albion,Crystal Palace
Reading,Swindon Town
Bournemouth,Southampton
Portsmouth,Southampton
Cardiff City,Swansea City
Sheffield United,Sheffield Wednesday
Arsenal,Manchester United
Cardiff City,Leeds United
Chelsea,Liverpool
Chelsea,Leeds United
Brighton & Hove Albion,Crystal Palace
